"time","tweets"
"01-01-14-26",2671
"01-01-14-27",2783
"01-01-14-28",2833
"01-01-14-29",2561
"01-01-14-30",3084
"01-01-14-31",2745
"01-01-14-32",2663
"01-01-14-33",2875
"01-01-14-34",2644
"01-01-14-35",2860
"01-01-14-36",2666
"01-01-14-37",2685
"01-01-14-38",2830
"01-01-14-39",2789
"01-01-14-40",2851
"01-01-14-41",2580
"01-01-14-42",2704
"01-01-14-43",2571
"01-01-14-44",2676
"01-01-14-45",2728
"01-01-14-46",2669
"01-01-14-47",2630
"01-01-14-48",2523
"01-01-14-49",2636
"01-01-14-50",2785
"01-01-14-51",2588
"01-01-14-52",2511
"01-01-14-53",2525
"01-01-14-54",2609
"01-01-14-55",2644
"01-01-14-56",2629
"01-01-14-57",2597
"01-01-14-58",2663
"01-01-14-59",2730
"01-01-15-00",3822
"01-01-15-01",3017
"01-01-15-02",2873
"01-01-15-03",3033
"01-01-15-04",2907
"01-01-15-05",2822
"01-01-15-06",2799
"01-01-15-07",2743
"01-01-15-08",2725
"01-01-15-09",2680
"01-01-15-10",2593
"01-01-15-11",2759
"01-01-15-12",2698
"01-01-15-13",2752
"01-01-15-14",2643
"01-01-15-15",2778
"01-01-15-16",2752
"01-01-15-17",2716
"01-01-15-18",2869
"01-01-15-19",2885
"01-01-15-20",2894
"01-01-15-21",2812
"01-01-15-22",2926
"01-01-15-23",2683
"01-01-15-24",2592
"01-01-15-25",2713
"01-01-15-26",2768
"01-01-15-27",2700
"01-01-15-28",2583
"01-01-15-29",2630
"01-01-15-30",3079
"01-01-15-31",3470
"01-01-15-32",4056
"01-01-15-33",4100
"01-01-15-34",4058
"01-01-15-35",4173
"01-01-15-36",4087
"01-01-15-37",4211
"01-01-15-38",4429
"01-01-15-39",4809
"01-01-15-40",4854
"01-01-15-41",4643
"01-01-15-42",4596
"01-01-15-43",4856
"01-01-15-44",4973
"01-01-15-45",4969
"01-01-15-46",4621
"01-01-15-47",4574
"01-01-15-48",4492
"01-01-15-49",4744
"01-01-15-50",4642
"01-01-15-51",4830
"01-01-15-52",4628
"01-01-15-53",4784
"01-01-15-54",4565
"01-01-15-55",4767
"01-01-15-56",4734
"01-01-15-57",4696
"01-01-15-58",4753
"01-01-15-59",4512
"01-01-16-00",5253
"01-01-16-01",4379
"01-01-16-02",4444
"01-01-16-03",4057
"01-01-16-04",3925
"01-01-16-05",3853
"01-01-16-06",3709
"01-01-16-07",3561
"01-01-16-08",3627
"01-01-16-09",3661
"01-01-16-10",3826
"01-01-16-11",3514
"01-01-16-12",3531
"01-01-16-13",3385
"01-01-16-14",3322
"01-01-16-15",3562
"01-01-16-16",3254
"01-01-16-17",3135
"01-01-16-18",3238
"01-01-16-19",3162
"01-01-16-20",2936
"01-01-16-21",2977
"01-01-16-22",2584
"01-01-16-23",2569
"01-01-16-24",2719
"01-01-16-25",2730
"01-01-16-26",2612
"01-01-16-27",2544
"01-01-16-28",2561
"01-01-16-29",2633
"01-01-16-30",2978
"01-01-16-31",2778
"01-01-16-32",2570
"01-01-16-33",2738
"01-01-16-34",2567
"01-01-16-35",2764
"01-01-16-36",2759
"01-01-16-37",2741
"01-01-16-38",2984
"01-01-16-39",2774
"01-01-16-40",2972
"01-01-16-41",2711
"01-01-16-42",2762
"01-01-16-43",2699
"01-01-16-44",2764
"01-01-16-45",2974
"01-01-16-46",2918
"01-01-16-47",2967
"01-01-16-48",2880
"01-01-16-49",3054
"01-01-16-50",2975
"01-01-16-51",2851
"01-01-16-52",2799
"01-01-16-53",2772
"01-01-16-54",2845
"01-01-16-55",2747
"01-01-16-56",2615
"01-01-16-57",2848
"01-01-16-58",2703
"01-01-16-59",2729
